,county_name,population,total_households,hh_income_less_10,hh_income_10_to_15,hh_income_15_to_25,hh_income_25_to_35,hh_income_35_to_50,hh_income_50_to_75,hh_income_75_to_100,hh_income_100_to_150,hh_income_150_to_200,hh_income_200_plus,median_household_income,mean_soc_sec,food_stamp_benefits,pop_w_health_insurance
0,Albany County,304048.0,124108,7606,6285,11507,10845,14900,22510,16017,19466,8093,6879,60904,19131,14305,287725.0
1,Allegany County,47207.0,18032,1282,1193,2308,2110,3196,3521,2277,1604,320,221,44085,17561,2872,43052.0
2,Bronx County,1414859.0,490740,76719,45398,66942,54687,65338,74323,44111,40947,12865,9410,35302,14211,179811,1240816.0
3,Broome County,194413.0,78738,6134,4972,10079,8560,11189,14361,9432,9066,2742,2203,47744,18249,12867,183183.0
4,Cattaraugus County,77748.0,31502,2078,2224,4272,4040,4828,6134,3562,3288,695,381,43884,17614,5588,70680.0
5,Cayuga County,75490.0,31039,1837,1441,3388,3243,4696,6474,3873,4266,1153,668,53114,18117,3990,69987.0
6,Chautauqua County,129115.0,52718,4465,3738,7164,6183,8305,9720,6256,4904,1227,756,43211,18130,9948,120020.0
7,Chemung County,84179.0,34887,2654,2172,4466,3598,4686,6739,4080,4230,1307,955,49578,17696,5546,78837.0
8,Chenango County,48706.0,19837,1436,1314,2723,2162,2904,3943,2432,2145,499,279,46979,17340,3582,45351.0
9,Clinton County,76963.0,31648,2266,1861,3679,3310,4574,6219,3925,3822,1366,626,50502,18305,5760,72684.0
10,Columbia County,60143.0,25295,1412,1035,2425,2749,3016,4651,3636,3745,1322,1304,59916,19176,2696,56490.0
11,Cortland County,48238.0,17683,1108,1012,1929,1718,2887,3437,2312,2104,809,367,50910,17854,2471,45411.0
12,Delaware County,45975.0,18817,1471,1346,2698,2008,2579,3637,2313,2101,296,368,46055,18201,2905,42293.0
13,Dutchess County,288137.0,106949,4471,4235,8166,8544,11547,17910,14914,19732,9327,8103,72706,20204,10753,269005.0
14,Erie County,910418.0,382822,31399,21808,41268,37599,49911,67261,49049,52769,17831,13927,52744,18288,62448,866423.0
15,Essex County,36349.0,15298,866,736,1542,1580,2395,3155,2189,1846,667,322,53244,18656,1762,33872.0
16,Franklin County,46172.0,19299,1932,1282,2000,1879,2596,4022,2503,2076,578,431,49782,18026,3510,42132.0
17,Fulton County,53503.0,22450,1613,1338,2919,2531,3578,4312,2313,2795,611,440,46090,17232,3367,48922.0
18,Genesee County,58542.0,23825,1318,1365,2340,2621,3586,4863,3247,3225,850,410,52641,18842,2849,54930.0
19,Greene County,45128.0,17125,1019,1040,2089,1733,2496,3289,2056,2200,705,498,51013,18794,1453,42119.0
20,Hamilton County,4669.0,1239,72,76,155,138,157,296,117,147,52,29,52708,19318,103,4222.0
21,Herkimer County,62918.0,25670,1684,1742,2933,2731,4027,5258,3340,2895,633,427,48893,17917,4460,58078.0
22,Jefferson County,105638.0,43428,2998,2440,4266,4842,7207,8925,5403,5343,1142,862,49911,17413,7023,97405.0
23,Kings County,2596190.0,938803,103164,61462,102273,87051,110186,146420,102042,117284,51032,57889,50640,15358,224967,2317645.0
24,Lewis County,26714.0,10307,577,659,972,1303,1645,1945,1396,1266,306,238,49976,17635,1723,24313.0
25,Livingston County,62084.0,24217,1462,1323,2620,2325,3720,4690,3422,3438,722,495,52724,18393,3114,58878.0
26,Madison County,71502.0,26121,1631,1132,2473,2733,3692,5248,3455,3817,1053,887,55858,18680,3416,67680.0
27,Monroe County,742076.0,300289,23030,15618,30900,30111,40911,53591,37596,40946,15210,12376,53568,19182,44490,703491.0
28,Montgomery County,48884.0,19540,1591,1354,2931,2085,2786,3566,2365,2026,518,318,44455,17355,3887,44599.0
29,Nassau County,1346876.0,440230,13030,9832,24036,24036,35151,55656,53371,89684,57488,77946,102044,21730,22109,1258454.0
30,New York County,1624084.0,753385,70834,39354,60098,49157,60822,94632,73110,102917,60184,142277,75513,17351,103454,1501342.0
31,Niagara County,211319.0,87638,6210,5039,9912,10364,12233,15835,11215,11475,3430,1925,50094,18774,11508,199815.0
32,Oneida County,225239.0,90260,6530,5650,10713,10207,12140,17693,10997,10570,3260,2500,49838,17396,15827,212646.0
33,Onondaga County,462864.0,184925,14388,9734,17958,17194,24222,33965,23309,26526,9595,8034,55717,18555,26627,436066.0
34,Ontario County,108522.0,44180,1759,1924,4856,4369,5879,8529,5927,6784,2227,1926,58070,19708,4653,102217.0
35,Orange County,367037.0,125144,6720,4847,10208,9580,13443,19866,16423,24079,11004,8974,71910,19247,13941,342018.0
36,Orleans County,39187.0,16132,1009,854,2245,1729,2392,3569,1812,1804,445,273,48731,17863,2785,36188.0
37,Oswego County,119812.0,45374,3264,2585,4913,5006,7105,8509,6174,5435,1425,958,49571,18569,7923,111358.0
38,Otsego County,60310.0,23539,1641,1364,2791,2548,3485,4898,2717,2683,872,540,49689,17907,2621,55942.0
39,Putnam County,98778.0,34102,762,700,1874,2119,2414,4847,4810,7393,4441,4742,97606,21737,1327,92339.0
40,Queens County,2294929.0,779304,54716,34131,75605,71095,95857,139380,101760,117357,51350,38053,59758,17096,108512,1976051.0
41,Rensselaer County,158204.0,63553,3372,3094,5493,6036,8102,11595,8933,10629,3899,2400,61754,18543,7593,149842.0
42,Richmond County,469465.0,166014,13279,6215,12687,11208,15455,25169,21431,31929,15675,12966,74021,19340,20824,438378.0
43,Rockland County,320199.0,99038,4018,3954,7659,6173,8905,13203,12141,18537,10846,13602,86134,21831,11020,294991.0
44,St. Lawrence County,107906.0,41466,3389,2899,5086,4979,5540,8143,5408,3952,1121,949,46313,17763,7050,98594.0
45,Saratoga County,221645.0,90896,2910,2658,6704,6734,10095,16929,13318,18137,7426,5985,74080,20113,7152,211950.0
46,Schenectady County,153116.0,55027,3133,3174,5239,4910,6901,10045,8086,8480,2980,2079,59959,18738,7590,144116.0
47,Schoharie County,31594.0,12373,660,811,1507,1336,1796,2348,1754,1462,496,203,50607,18461,1548,29702.0
48,Schuyler County,18062.0,7376,531,480,882,794,1170,1428,894,937,179,81,47229,18625,979,16520.0
49,Seneca County,32261.0,13672,847,590,1920,1469,1999,2580,1791,1713,460,303,50073,17608,1686,29139.0
50,Steuben County,96973.0,40438,2620,2613,4548,5004,5812,7962,4967,4661,1273,978,48823,18289,5642,89189.0
51,Suffolk County,1483117.0,489758,17471,13372,29839,29763,42739,72192,64319,99758,58107,62198,90128,20875,32959,1370555.0
52,Sullivan County,73437.0,28007,2009,1534,3360,2973,3688,5479,3438,3265,1260,1001,52027,18200,3756,66470.0
53,Tioga County,49274.0,19705,920,1038,2262,2095,2219,3955,2508,2958,971,779,58115,19735,2828,46219.0
54,Tompkins County,103385.0,38269,4085,2105,3393,3650,4717,6824,4333,4660,2264,2238,54133,19675,3628,97936.0
55,Ulster County,176129.0,69335,3869,3729,6840,7194,7747,12477,8983,10730,4231,3535,60393,18496,7892,161407.0
56,Warren County,64348.0,26944,1392,1682,2352,2696,3734,5435,3608,3847,1234,964,57174,19305,3217,59964.0
57,Washington County,59457.0,24027,1323,1198,2745,2420,3981,4975,3234,2787,880,484,51449,18902,3517,54637.0
58,Wayne County,90882.0,36576,1797,1753,3738,4830,5427,7393,4977,4547,1353,761,51627,19301,4269,84544.0
59,Westchester County,956762.0,341762,17716,11493,24197,22509,30410,46088,36537,56108,34062,62642,86226,21020,29540,871693.0
60,Wyoming County,37655.0,15780,784,741,1681,1777,2337,3638,2362,1823,432,205,53612,18211,1638,35451.0
61,Yates County,24747.0,9532,542,596,1013,1257,1349,1699,1212,1131,413,320,50105,18454,1153,19515.0
