,nta_code,pop,households,age_less_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_plus,median_hh_income,hh_income_less_10,hh_income_10_to_15,hh_income_15_to_25,hh_income_25_to_35,hh_income_35_to_50,hh_income_50_to_75,hh_income_75_to_100,hh_income_100_to_150,hh_income_150_to_200,hh_income_200_plus,below_poverty,edu_none,edu_high_school,edu_college,commute_walk,commute_public,commute_car,health_insurance_coverage,disability,not_us_citizen,lang_spanish,lang_chinese,lang_russian,lang_indic,lang_french_creole,lang_korean,homeval_less_50,homeval_50_to_100,homeval_100_to_150,homeval_150_to_200,homeval_200_to_300,homeval_300_to_500,homeval_500_to_1m,homeval_1m_plus,rent_less_500,rent_500_to_1000,rent_1000_to_1500,rent_1500_to_2000,rent_2000_to_2500,rent_2500_to_3000,rent_3000_plus,average_hh_size
0,BX31,28903,9587,1679,1706,1763,2039,1964,1703,1798,1654,1937,2203,2027,1785,1619,5026,61638,836,348,797,773,1160,1764,1155,1562,765,427,4208,4897,6041,8027,724,5731,6722,28157,3824,4148,2276,183,26,89,94,0,116,26,84,10,272,2929,1644,85,597,692,1314,1092,413,42,0,3.26
1,SI01,27770,9885,1397,1698,1817,1880,1720,1594,1487,1814,2073,2274,2246,1961,1869,3940,88288,467,253,571,405,1008,1523,1346,2075,1086,1151,1572,1524,6659,8249,128,3020,9604,28089,2705,711,81,151,529,32,0,72,77,52,8,19,138,2917,4694,289,40,564,473,173,177,47,31,2.85
2,SI48,25238,8960,1507,1540,1596,1752,1614,1561,1726,1828,1914,1892,1910,1945,1763,2690,89570,304,256,337,516,707,1421,1611,2021,1047,740,1838,1428,5611,7597,26,2787,8841,25510,2201,698,196,328,155,21,0,121,170,104,85,36,934,3948,2583,51,23,313,575,81,109,0,59,2.91
3,QN70,78793,34310,3480,3037,3060,3392,6630,11586,9252,6843,5633,4944,4599,4018,3373,8946,54882,2772,1782,3673,2816,4725,6463,4557,4698,1627,1197,11426,9366,11861,33054,2950,33055,6415,66199,7225,15384,8506,1177,202,1099,9,642,110,87,30,166,738,1176,2508,391,1818,3600,9067,9485,3421,665,331,2.25
4,QN48,19996,7122,917,966,1063,1168,1214,1307,1296,1336,1451,1557,1659,1560,1326,3176,70772,270,349,445,632,690,1417,1060,1237,589,433,1293,2209,3933,7101,180,3390,5760,18509,1536,3116,735,3152,39,34,21,1538,51,28,64,54,88,487,3694,240,4,131,686,854,292,16,52,2.97
5,QN76,34603,10730,2198,2389,2569,2923,2699,2430,2264,2191,2414,2763,2585,2013,1469,3696,59357,637,385,820,941,1575,2186,1532,1718,629,307,5428,4461,9097,6521,528,8373,8114,34964,4413,6015,1261,80,0,256,328,5,223,73,109,144,1322,4207,954,58,321,682,1311,1012,353,66,9,3.54
6,BK27,29931,11125,1766,1668,1672,1581,1922,2234,2308,2241,2006,2080,2097,1930,1653,4773,55193,897,768,1091,932,1407,2016,1176,1606,711,521,4722,5472,6188,9676,679,8306,4909,29449,3417,6239,2022,5716,2152,92,0,56,39,81,44,66,270,469,2873,624,411,1131,3227,1667,216,29,31,2.88
7,MN25,39699,21216,2272,1055,691,1453,5203,7559,5978,4206,2823,1945,1589,1398,1182,2345,125434,1197,420,800,609,960,1909,2416,3878,2377,6650,3557,1018,1262,29509,9138,16429,1489,43647,1702,7444,465,891,169,0,23,175,418,0,16,14,39,779,1593,2099,380,788,404,607,2008,4474,8051,2.01
8,BK31,78607,34991,4571,3998,3772,3802,4700,7214,6738,6207,5718,5618,5541,5090,4340,11298,57980,2654,1864,3575,3067,4056,5848,4154,4869,2498,2406,12266,8006,11165,30756,3442,21679,10908,72049,8024,10422,3292,4111,1934,411,22,492,344,185,391,349,1473,1598,5588,2130,869,2379,9708,5878,1434,321,262,2.36
9,QN46,43808,16008,2106,2199,2353,2694,2504,2832,2935,3014,3158,3569,3531,3197,2698,7018,79120,578,494,1284,1073,1680,2506,2360,3047,1710,1276,3256,3789,7392,17132,712,6637,13574,40362,3825,6120,1692,5218,77,135,0,3446,147,140,106,353,528,1087,7061,683,34,379,1549,2070,827,159,98,2.83
10,BK75,70713,24920,6850,6109,5426,5390,6377,7007,6183,4818,4308,4060,3686,2771,2343,5385,37343,3682,2296,3129,2803,3263,3605,2079,2447,1055,561,25742,9699,11608,16621,4258,20058,4393,68299,7623,6832,4888,235,75,124,226,23,68,130,56,64,117,592,2344,1453,3728,5102,4681,3907,2280,537,441,2.86
11,BX05,54415,18636,4517,4183,4058,4623,4693,4663,4262,3854,3830,3786,3490,2724,2029,3703,29549,3096,2319,3041,2063,2431,2728,1583,1077,149,149,18637,11024,9913,7154,2218,15609,4201,47888,6680,13343,13921,93,0,304,19,254,63,16,87,130,82,313,168,0,2013,3275,9392,3013,326,75,56,2.88
12,QN43,25287,8252,1347,1374,1485,1659,1674,1726,1687,1567,1769,1960,2236,1926,1490,3387,77863,387,233,565,462,1009,1322,1292,1608,860,514,2952,2226,5934,7532,296,3317,8011,24137,2446,3425,1671,242,27,1546,32,142,92,77,127,429,422,2023,2657,37,92,137,949,724,177,53,4,3.18
13,BX06,27378,8643,2076,2073,1969,3458,3937,2157,1846,1761,1580,1622,1229,966,756,1948,21924,1993,1202,1648,1215,836,950,366,329,90,14,11804,4947,4144,2823,1809,5829,1720,24744,3709,6432,6273,13,18,0,0,56,49,34,14,0,75,263,45,0,1433,2272,3303,1268,120,14,24,2.9
14,BK29,62978,21974,3578,3377,3360,3528,4381,4924,4743,4400,4354,4613,4639,4214,3619,9248,45108,2094,1386,2787,2409,3075,3870,2451,2379,887,636,12380,11556,12871,17150,2071,17519,7387,56883,6687,15438,3372,13573,6780,48,0,72,159,126,59,63,138,1132,5314,658,1100,2386,7773,2188,265,122,21,2.89
